Starting data and time	Thursday 04 May 2023 (09:55:14)
Ending date and time	Thursday 04 May 2023 (09:55:18)
Time consumed	0 hours, 0 minutes, and 3 seconds
Number of datasets	1
Total number of input genes	1925
Genes included in the analysis	1924
Genes filtered out from the analysis	1
Number of clusters	8
Total number of genes in clusters	1049
Genes not included in any cluster	875
Min cluster size	56
Max cluster size	300
Average cluster size	131.125
Number of samples (including replicates)	25
Number of conditions	4
